Query,Landing Page,Clicks,% Δ,Impressions,% Δ,Average Position,Δ
nuki pro,https://www.slockhub.com/brands/nuki/nuki-smart-lock-pro-4,0,,1,,85,
nuki smart lock pro,https://www.slockhub.com/brands/nuki/nuki-smart-lock-pro-4,0,,1,,86,
nuki smart lock ultra,https://www.slockhub.com/brands/nuki/nuki-smart-lock-ultra,0,,1,,84,
nuki ultra,https://www.slockhub.com/brands/nuki/nuki-smart-lock-ultra,0,,1,,40,
nuki vs aqara,https://www.slockhub.com/compare/aqara-vs-nuki,0,,1,0,11,4
nuki vs aqara lock,https://www.slockhub.com/compare/aqara-vs-nuki,0,,1,-0.6666666666666666,9,0.33333333333333215
nuki vs august,https://www.slockhub.com/compare/august-vs-nuki,0,,2,-0.7142857142857143,14.5,5.5
nuki vs august smart lock,https://www.slockhub.com/compare/august-vs-nuki,0,-1,5,-0.4444444444444444,6.4,-0.822222222222222
nuki vs tedee,https://www.slockhub.com/brands/tedee,0,,3,-0.5,2,0.8333333333333333
nuki vs tedee,https://www.slockhub.com/compare/nuki-vs-tedee,0,,4,-0.6923076923076923,9.25,-0.057692307692308376
philip lock,https://www.slockhub.com/brands/philips,0,,1,,40,
philips locks,https://www.slockhub.com/brands/philips,0,,1,,78,
philips smart lock,https://www.slockhub.com/brands/philips,0,,2,,74,
philips smart locks,https://www.slockhub.com/brands/philips,0,,1,,82,
qrio lock smart lock,https://www.slockhub.com/brands/qrio,0,,1,-0.5,10,0
renter friendly smart lock,https://www.slockhub.com/best/smart-locks-for-apartments,0,,1,-0.5,68,-4.5
rf coverage,https://www.slockhub.com/calculators/rf-coverage,0,,10,,89.6,
salto ble locks,https://www.slockhub.com/brands/salto,0,,1,-0.5,35,-4
salto smart lock,https://www.slockhub.com/compare/latch-vs-salto,0,,1,,66,
salto smart lock,https://www.slockhub.com/compare/salto-vs-epic,0,,1,,75,
zwave smart locks,https://www.slockhub.com/best/z-wave-smart-locks,0,,2,,89.5,
samsung dp609,https://www.slockhub.com/brands/samsung/samsung-shp-dp609,0,,1,,49,
samsung locks,https://www.slockhub.com/brands/samsung,0,,1,,49,
samsung shp dp609,https://www.slockhub.com/brands/samsung/samsung-shp-dp609,0,,1,0,38,30
samsung shp-dp609,https://www.slockhub.com/brands/samsung/samsung-shp-dp609,0,,2,,41.5,
samsung smart lock,https://www.slockhub.com/brands/samsung,0,,2,,53,
samsung smart locks,https://www.slockhub.com/brands/samsung,0,,1,,55,
schlage battery life,https://www.slockhub.com/best/smart-locks-with-longest-battery-life,0,,1,,46,
schlage connect z wave,https://www.slockhub.com/brands/schlage/schlage-connect-zwave,0,,1,,60,
schlage encode battery life,https://www.slockhub.com/best/smart-locks-with-longest-battery-life,0,,1,0,58,6
schlage encode vs arrive,https://www.slockhub.com/compare/schlage-vs-level,0,,1,0,53,0
schlage encode vs kwikset halo,https://www.slockhub.com/compare/schlage-vs-kwikset,0,,1,,49,
schlage encode vs schlage arrive,https://www.slockhub.com/compare/schlage-vs-level,0,,1,,9,
schlage lock,https://www.slockhub.com/brands/schlage,0,,1,,53,
schlage lock battery life,https://www.slockhub.com/best/smart-locks-with-longest-battery-life,0,,1,,48,
schlage lock brand guide,https://www.slockhub.com/brands/schlage,0,,3,0.5,35.333333333333336,-9.166666666666664
schlage lock co,https://www.slockhub.com/brands/schlage,0,,1,,62,
schlage lock co llc,https://www.slockhub.com/brands/schlage,0,,1,,84,
schlage lock company,https://www.slockhub.com/brands/schlage,0,,1,,90,
schlage lock smart,https://www.slockhub.com/brands/schlage,0,,1,,57,
schlage locks,https://www.slockhub.com/brands/schlage,0,,1,,98,
schlage locks smart,https://www.slockhub.com/brands/schlage,0,,1,,63,
schlage smart lock,https://www.slockhub.com/brands/schlage,0,,5,,65,
schlage smart lock battery life,https://www.slockhub.com/best/smart-locks-with-longest-battery-life,0,,1,,46,
schlage smart locks,https://www.slockhub.com/brands/schlage,0,,4,,79.25,
schlage smart locks comparison,https://www.slockhub.com/compare/schlage-vs-latch,0,,1,,92,
schlage smart locks comparison,https://www.slockhub.com/compare/schlage-vs-level,0,,1,,80,
schlage vs august lock,https://www.slockhub.com/compare/august-vs-schlage,0,,3,-0.8235294117647058,21.333333333333332,4.921568627450977
schlage vs defiant,https://www.slockhub.com/compare/schlage-vs-defiant,0,,21,0.6153846153846154,9.380952380952381,-2.772893772893772
schlage vs weiser,https://www.slockhub.com/compare/schlage-vs-veise,0,,1,,46,
schlage vs weiser,https://www.slockhub.com/compare/schlage-vs-weiser,0,,7,-0.6956521739130435,11.857142857142858,0.5093167701863361
schlage vs weiser,https://www.slockhub.com/compare/simplisafe-vs-weiser,0,,1,,44,
schlage vs weiser deadbolts comparison security durability,https://www.slockhub.com/compare/schlage-vs-weiser,0,,1,,20,
schlage vs weiser locks,https://www.slockhub.com/compare/schlage-vs-weiser,0,,4,-0.75,9.5,-1.4375
schlage z wave,https://www.slockhub.com/brands/schlage/schlage-connect-zwave,0,,4,,64.5,
schlage z-wave hub,https://www.slockhub.com/brands/schlage/schlage-connect-zwave,0,,1,,44,
schlage zwave locks,https://www.slockhub.com/brands/schlage/schlage-connect-zwave,0,,1,,52,
schlange smart lock,https://www.slockhub.com/brands/schlage,0,,1,,99,
sesame 5 pro () reviews,https://www.slockhub.com/brands/sesame,0,,1,,5,
sesame bot2,https://www.slockhub.com/brands/sesame,0,,1,,4,
sesame bot2,https://www.slockhub.com/compare/switchbot-vs-sesame,0,,1,0,10,1
sesame smart lock,https://www.slockhub.com/brands/sesame,0,,2,-0.6,73,28.799999999999997
shp dp609,https://www.slockhub.com/brands/samsung/samsung-shp-dp609,0,,1,,42,
shp dr708,https://www.slockhub.com/brands/samsung/samsung-shp-dr708,0,,1,0,62,-8
shp-dp609,https://www.slockhub.com/brands/samsung/samsung-shp-dp609,0,,3,,37.666666666666664,
shp-dr708,https://www.slockhub.com/brands/samsung/samsung-shp-dr708,0,,1,0,61,-1
sifley,https://www.slockhub.com/compare/lockly-vs-sifely,0,,1,,94,
simplisafe door lock install,https://www.slockhub.com/brands/simplisafe,0,,3,-0.25,68.33333333333333,1.8333333333333286
simplisafe door lock installation,https://www.slockhub.com/brands/simplisafe,0,,1,,57,
simplisafe lock,https://www.slockhub.com/brands/simplisafe,0,,2,-0.7142857142857143,77,8.714285714285708
simplisafe lock install,https://www.slockhub.com/brands/simplisafe,0,,2,,67,
simplisafe smart lock,https://www.slockhub.com/brands/simplisafe,0,,2,-0.6666666666666666,68.5,1.1666666666666714
simplisafe smart lock install,https://www.slockhub.com/brands/simplisafe,0,,2,,64,
simplisafe smart lock installation,https://www.slockhub.com/brands/simplisafe,0,,2,-0.3333333333333333,65.5,-4.166666666666671
simplisafe smart locks,https://www.slockhub.com/brands/simplisafe,0,,1,-0.8,58,-4.799999999999997
simplisafe vs wyze,https://www.slockhub.com/compare/wyze-vs-simplisafe,0,,2,,47,
simply safe lock,https://www.slockhub.com/brands/simplisafe,0,,1,,66,
smart door lock apple homekit,https://www.slockhub.com/best/homekit-smart-locks,0,,1,,47,
smart door lock battery life,https://www.slockhub.com/best/smart-locks-with-longest-battery-life,0,,1,0,93,-3
smart door locks compatible with apple homekit,https://www.slockhub.com/best/homekit-smart-locks,0,,1,,55,
smart finger lock,https://www.slockhub.com/best/fingerprint-smart-locks,0,,3,2,63.666666666666664,10.666666666666664
smart keypad lock,https://www.slockhub.com/best/keypad-smart-locks,0,,1,,97,
smart lock airbnb,https://www.slockhub.com/best/smart-locks-for-airbnb,0,,3,2,65,-15
smart lock apple,https://www.slockhub.com/best/homekit-smart-locks,0,,1,,48,
smart lock battery life,https://www.slockhub.com/best/smart-locks-with-longest-battery-life,0,,1,-0.6666666666666666,94,11
smart lock companies,https://www.slockhub.com/brands,0,,3,-0.6666666666666666,73,-0.6666666666666714
smart lock for airbnb,https://www.slockhub.com/best/smart-locks-for-airbnb,0,,3,,90.33333333333333,
smart lock for rental,https://www.slockhub.com/best/smart-locks-for-rental-properties,0,,2,-0.3333333333333333,79.5,2.8333333333333286
smart lock for renters,https://www.slockhub.com/best/smart-locks-for-apartments,0,,1,-0.8,77,-5.400000000000006
smart lock installation cost,https://www.slockhub.com/calculators/installation-cost,0,,1,-0.75,80,12.75
smart lock manufacturer,https://www.slockhub.com/brands,0,,2,-0.3333333333333333,94,1.3333333333333286
smart lock manufacturers,https://www.slockhub.com/brands,0,,3,-0.7692307692307693,87,-0.2307692307692264
smart lock matter,https://www.slockhub.com/best/matter-smart-locks,0,,1,,67,
smart lock samsung,https://www.slockhub.com/brands/samsung,0,,1,0,57,56
smart lock schlage,https://www.slockhub.com/brands/schlage,0,,1,,55,
smart lock that works with apple homekit,https://www.slockhub.com/best/homekit-smart-locks,0,,2,,57,
smart lock with best battery life,https://www.slockhub.com/best/smart-locks-with-longest-battery-life,0,,1,0,67,5
smart lock zwave,https://www.slockhub.com/best/z-wave-smart-locks,0,,1,0,42,-4
smart locks companies,https://www.slockhub.com/brands,0,,3,-0.75,84,15.666666666666671
smart locks for airbnb,https://www.slockhub.com/best/smart-locks-for-airbnb,0,,1,,87,
"smart locks for business,access control keywords,seo",https://www.slockhub.com/best/smart-locks-for-commercial,0,,6,,79.33333333333333,
smart locks homekit,https://www.slockhub.com/best/homekit-smart-locks,0,,1,-0.5,66,21.5
smart locks samsung,https://www.slockhub.com/brands/samsung,0,,1,,53,
smart locks schlage,https://www.slockhub.com/brands/schlage,0,,2,,70,
smart locks that work with apple home,https://www.slockhub.com/best/homekit-smart-locks,0,,1,-0.5,55,-3.5
smart locks with apple home key,https://www.slockhub.com/best/homekit-smart-locks,0,,1,-0.6666666666666666,66,-3.3333333333333286
smart locks with best battery life,https://www.slockhub.com/best/smart-locks-with-longest-battery-life,0,,2,1,62,-17
switchbot lock pro vs ultra,https://www.slockhub.com/compare/ultraloq-vs-switchbot,0,,1,,45,
switchbot vs aqara,https://www.slockhub.com/compare/aqara-vs-switchbot,0,,2,,20,
tedee go 2 vs nuki pro 5,https://www.slockhub.com/compare/nuki-vs-tedee,0,-1,1,-0.5,8,-2
tedee go vs pro,https://www.slockhub.com/compare/tedee-vs-latch,0,,8,,65.625,
tedee pro vs nuki pro 5,https://www.slockhub.com/compare/nuki-vs-tedee,0,,2,1,8,2
tedee pro vs nuki ultra,https://www.slockhub.com/compare/nuki-vs-tedee,0,-1,7,0.4,8.714285714285715,-0.2857142857142847
tedee vs nuki,https://www.slockhub.com/compare/nuki-vs-tedee,0,,2,-0.8823529411764706,9.5,0.3235294117647065
thread smart lock,https://www.slockhub.com/best/matter-smart-locks,0,,5,0,64.4,-1.7999999999999972
thread smart lock,https://www.slockhub.com/best/mid-range-smart-locks,0,,2,-0.6,68,-5
ultraloq,https://www.slockhub.com/brands/ultraloq,0,,1,,49,
ultraloq locks,https://www.slockhub.com/brands/ultraloq,0,,1,,46,
ultraloq u-bolt pro wifi,https://www.slockhub.com/brands/ultraloq/ultraloq-u-bolt-pro-wifi,0,,1,,54,
veise vs schlage,https://www.slockhub.com/compare/schlage-vs-veise,0,-1,17,-0.5952380952380952,8.705882352941178,-0.12745098039215463
weiser fingerprint lock,https://www.slockhub.com/brands/weiser/weiser-halo-touch,0,,1,,52,
weiser halo,https://www.slockhub.com/brands/weiser/weiser-halo-touch,0,,5,,59.8,
weiser kwikset,https://www.slockhub.com/compare/kwikset-vs-weiser,0,,2,,18,
weiser or schlage,https://www.slockhub.com/compare/schlage-vs-veise,0,,1,0,54,0
weiser or schlage,https://www.slockhub.com/compare/schlage-vs-weiser,0,,1,-0.5,21,-0.5
weiser smart lock wifi,https://www.slockhub.com/brands/weiser/weiser-halo-touch,0,,1,,39,
weiser vs kwikset,https://www.slockhub.com/compare/kwikset-vs-weiser,0,,10,1,10.4,-0.40000000000000036
weiser vs schlage,https://www.slockhub.com/compare/schlage-vs-weiser,0,,3,-0.6666666666666666,10,-4.222222222222221
weiser vs schlage deadbolt,https://www.slockhub.com/compare/schlage-vs-veise,0,,1,,51,
weiser vs schlage deadbolt,https://www.slockhub.com/compare/schlage-vs-weiser,0,,4,0,10.5,-4.75
weiser vs schlage deadbolt,https://www.slockhub.com/compare/simplisafe-vs-weiser,0,,1,0,56,7
weiser vs schlage locks,https://www.slockhub.com/compare/hornbill-vs-weiser,0,,1,0,49,3
weiser vs schlage locks,https://www.slockhub.com/compare/schlage-vs-veise,0,,1,,46,
weiser vs schlage locks,https://www.slockhub.com/compare/schlage-vs-weiser,0,,6,1,13.166666666666666,-5.833333333333334
weiser vs schlage locks,https://www.slockhub.com/compare/simplisafe-vs-weiser,0,,1,0,48,3
weiser wifi smart lock,https://www.slockhub.com/brands/weiser/weiser-halo-touch,0,,1,,38,
what is schlage,https://www.slockhub.com/brands/schlage,0,,1,,62,
what is z wave door lock,https://www.slockhub.com/best/z-wave-smart-locks,0,,1,,64,
what is z wave lock,https://www.slockhub.com/best/z-wave-smart-locks,0,,1,0,52,-30
what is z wave smart lock,https://www.slockhub.com/best/z-wave-smart-locks,0,,1,,80,
which is better z wave zigbee or matter for smart locks and thermostats,https://www.slockhub.com/articles/protocols/zigbee-vs-zwave-comparison,0,,1,0,47,1
who makes defiant locks,https://www.slockhub.com/brands/defiant,0,,2,-0.3333333333333333,66.5,0.1666666666666714
who makes defiant locks,https://www.slockhub.com/compare/kwikset-vs-defiant,0,,1,-0.5,57,-1
who makes weiser locks,https://www.slockhub.com/compare/kwikset-vs-weiser,0,,1,,49,
wyze security system vs simplisafe,https://www.slockhub.com/compare/wyze-vs-simplisafe,0,,1,,41,
wyze vs simplisafe,https://www.slockhub.com/compare/wyze-vs-simplisafe,0,,1,,26,
yale and august,https://www.slockhub.com/compare/yale-vs-august,0,,1,,66,
yale approach vs august smart lock,https://www.slockhub.com/compare/yale-vs-august,0,,1,0,37,-5
yale assure lock 2 features specifications,https://www.slockhub.com/brands/yale/yale-assure-lock-2-wifi,0,,1,,18,
